H850,H500
1538.75,5840.0
1544.0,5842.5
1538.75,5826.75
1528.75,5796.0
1515.75,5797.5
1528.0,5811.75
1531.0,5811.0
1518.0,5818.75
1517.25,5837.0
1524.25,5835.5
1508.25,5792.25
1507.75,5788.75
1530.75,5843.0
1533.0,5864.25
1533.5,5854.0
1517.0,5825.5
1513.0,5819.5
1533.5,5847.25
1521.5,5852.75
1510.5,5850.25
1496.5,5849.25
1506.75,5844.25
1509.0,5842.5
1520.25,5830.75
1540.5,5831.25
1519.25,5823.75
1528.0,5817.5
1542.75,5804.75
1509.5,5778.75
1507.25,5778.75
1525.0,5817.25
1517.25,5810.5
1503.25,5803.75
1508.75,5787.75
1521.0,5773.25
1531.25,5784.5
1515.5,5790.75
1546.25,5811.75
1520.5,5827.25
1482.5,5817.25
1509.0,5832.0
1529.5,5843.75
1536.5,5848.25
1535.75,5843.75
1540.25,5851.5
1527.5,5835.0
1514.25,5802.25
1513.75,5765.0
1516.5,5757.75
1514.5,5764.0
1506.75,5758.0
1500.5,5728.0
1494.25,5725.5
1509.75,5760.25
1519.5,5782.5
1532.75,5810.75
1561.5,5818.75
1570.75,5831.0
1553.0,5836.75
1543.25,5819.75
1534.25,5797.25
1535.75,5777.25
1553.5,5784.0
1539.25,5815.0
1501.0,5810.25
1507.75,5804.0
1512.75,5778.5
1506.75,5761.75
1507.25,5766.25
1511.25,5779.0
1531.25,5820.75
1542.75,5840.0
1550.25,5832.0
1541.0,5807.75
1520.5,5764.5
1512.5,5784.25
1511.25,5779.75
1525.0,5798.75
1533.75,5807.25
1517.25,5793.5
1510.25,5784.75
1507.0,5812.5
1527.0,5850.5
1545.75,5845.5
1514.0,5804.25
1515.25,5788.0
1523.0,5799.25
1518.0,5791.5
1492.25,5739.0
1470.5,5712.0
1477.0,5754.25
1470.25,5757.0
1464.5,5768.75
1482.75,5826.0
1480.5,5837.75
1483.25,5844.25
1495.0,5851.75
1511.5,5855.25
1489.0,5836.25
1485.25,5830.25
1496.25,5840.5
1509.5,5850.25
1516.75,5834.25
1515.5,5821.0
1511.25,5811.5
1511.5,5810.25
1526.25,5806.5
1528.75,5816.5
1538.75,5828.5
1545.5,5829.5
1539.5,5843.25
1558.25,5847.25
1537.75,5841.25
1532.75,5826.25
1545.5,5816.75
1529.75,5816.75
1520.25,5806.75
1521.0,5815.75
1530.75,5840.25
1539.75,5838.75
1532.0,5833.75
1491.25,5815.25
1466.0,5799.25
1465.75,5781.75
1475.75,5789.0
1483.5,5817.0
1471.0,5819.5
1451.75,5804.25
1457.0,5790.25
1477.0,5799.0
1499.0,5814.25
1497.0,5803.5
1492.0,5784.75
1502.25,5786.0
1504.5,5802.0
1492.5,5808.75
1484.0,5787.5
1491.0,5804.25
1497.5,5801.5
1483.25,5815.5
1466.0,5816.5
1469.25,5820.75
1468.75,5820.75
1472.0,5829.0
1481.25,5839.0
1487.0,5832.0
1477.5,5810.75
1485.5,5809.25
1503.0,5817.25
1504.5,5806.25
1488.25,5809.5
1493.25,5848.0
1491.75,5829.25
1495.75,5829.5
1499.25,5845.5
1520.25,5858.5
1506.75,5840.25
1480.25,5794.0
1490.0,5802.5
1498.5,5854.75
1513.75,5878.75
1520.25,5875.5
1509.75,5864.25
1502.5,5864.0
1496.0,5845.25
1497.75,5826.5
1498.5,5851.5
1505.0,5866.75
1511.25,5870.0
1535.25,5848.25
1531.0,5840.0
1514.0,5841.25
1494.5,5844.0
1487.75,5847.25
1467.75,5846.5
1456.25,5844.0
1449.25,5844.0
1455.25,5846.0
1445.75,5834.25
1446.25,5839.0
1454.75,5827.0
1473.0,5813.5
1488.25,5830.0
1489.0,5842.75
1489.5,5840.75
1482.5,5838.25
1481.5,5827.75
1494.0,5850.25
1498.5,5860.0
1481.5,5852.0
1486.0,5859.25
1496.75,5879.25
1490.5,5888.0
1483.0,5874.25
1480.0,5873.75
1481.75,5873.0
1483.0,5873.25
1472.75,5858.25
1482.25,5860.75
1473.5,5860.75
1465.25,5854.75
1456.25,5839.5
1462.25,5829.5
1453.25,5829.5
1459.25,5844.5
1463.25,5856.75
1463.5,5861.25
1449.75,5851.0
1446.25,5841.5
1440.0,5828.25
1433.0,5831.5
1439.5,5839.75
1448.0,5842.5
1453.0,5842.0
1456.0,5842.25
1459.5,5853.0
1449.25,5849.25
1439.0,5837.75
1439.0,5841.0
1445.0,5844.5
1455.0,5849.75
1465.0,5863.0
1467.25,5865.0
1468.5,5863.5
1474.75,5864.75
1472.0,5857.75
1448.25,5835.5
1441.75,5832.75
1441.25,5853.75
1444.5,5856.5
1454.0,5855.75
1449.5,5843.5
1453.25,5845.5
1452.0,5847.5
1451.25,5847.25
1444.5,5841.5
1442.0,5843.75
1449.25,5848.75
1458.0,5855.5
1469.0,5865.5
1470.0,5864.25
1465.5,5865.0
1470.25,5862.0
1465.5,5855.5
1462.0,5853.5
1446.0,5838.75
1442.0,5837.0
1453.25,5847.75
1460.75,5848.75
1455.0,5844.25
1445.25,5839.75
1447.75,5842.5
1460.0,5851.0
1468.25,5862.25
1456.0,5845.0
1444.75,5839.5
1445.75,5838.75
1445.0,5841.25
1444.25,5835.0
1448.25,5843.0
1470.75,5856.25
1470.5,5856.0
1448.5,5839.0
1426.75,5826.75
1442.25,5833.5
1467.0,5862.75
1455.0,5865.0
1437.25,5853.0
1430.75,5838.0
1438.25,5849.5
1450.0,5857.75
1454.5,5862.5
1460.75,5862.5
1458.0,5861.0
1448.5,5860.0
1444.75,5854.5
1440.75,5841.25
1444.0,5841.75
1437.5,5836.75
1436.75,5834.25
1445.5,5845.75
1440.75,5854.75
1433.75,5849.75
1449.0,5866.5
1472.0,5869.75
1462.25,5856.25
1446.75,5844.75
1441.5,5844.25
1448.25,5851.5
1448.75,5858.5
1457.75,5865.75
1463.25,5868.0
1463.75,5862.5
1467.25,5859.25
1482.5,5864.0
1496.25,5872.75
1500.0,5878.75
1504.75,5884.25
1503.75,5884.0
1501.75,5884.0
1497.5,5882.0
1509.75,5895.5
1519.0,5899.25
1536.5,5897.75
1545.75,5895.25
1533.0,5890.75
1520.5,5880.25
1503.5,5864.75
1500.5,5863.5
1505.0,5866.75
1497.75,5861.5
1488.75,5856.75
1491.75,5848.0
1498.25,5853.5
1516.0,5878.5
1513.0,5892.0
1497.75,5883.5
1487.0,5865.75
1482.25,5866.0
1466.0,5860.25
1464.25,5859.75
1461.75,5849.5
1472.25,5853.5
1481.75,5857.75
1472.25,5851.25
1464.25,5845.75
1474.0,5856.25
1511.25,5877.75
1532.75,5868.25
1511.75,5857.0
1516.25,5873.25
1535.75,5896.5
1546.25,5898.75
1527.75,5884.5
1513.5,5882.5
1499.0,5870.5
1496.5,5872.5
1495.75,5872.5
1499.75,5882.5
1492.75,5874.25
1484.0,5866.5
1521.25,5876.25
1555.0,5879.5
1549.25,5882.5
1550.0,5891.0
1543.25,5888.5
1536.5,5880.5
1558.75,5879.25
1525.25,5873.25
1498.5,5849.75
1507.75,5872.25
1507.25,5875.5
1498.25,5863.0
1496.75,5870.25
1487.5,5864.5
1506.5,5874.25
1539.0,5881.25
1556.75,5868.0
1569.0,5837.0
1565.0,5830.5
1546.5,5843.5
1539.5,5861.25
1536.25,5869.5
1545.0,5876.75
1533.5,5868.5
1532.75,5859.75
1532.5,5849.0
1535.0,5852.0
1524.25,5858.25
1515.75,5859.75
1523.5,5869.5
1515.0,5868.75
1503.0,5851.5
1499.0,5833.75
1495.0,5815.0
1492.0,5818.25
1520.75,5845.25
1544.75,5865.25
1538.0,5857.0
1544.25,5854.5
1578.0,5861.5
1580.25,5865.0
1568.5,5859.5
1544.5,5866.25
1525.25,5855.75
1544.25,5855.0
1564.5,5869.75
1544.0,5860.0
1520.25,5856.75
1550.0,5880.75
1562.0,5893.0
1551.75,5881.5
1534.0,5861.25
1552.5,5853.0
1558.5,5829.25
1551.25,5804.75
1542.0,5797.5
1554.25,5821.75
1580.0,5822.5
1572.25,5800.25
1558.5,5799.75
1548.5,5794.0
1552.0,5799.0
1538.75,5818.75
1520.5,5827.75
1515.75,5822.0
1520.25,5839.25
1500.25,5830.25
1489.5,5817.75
1503.75,5812.0
1515.25,5814.25
1528.0,5803.75
1512.75,5790.5
1491.25,5768.75
1508.75,5770.25
1530.75,5804.75
1514.25,5809.0
1534.25,5824.5
1552.0,5821.0
1543.75,5804.25
1515.25,5779.5
1494.75,5772.5
1495.5,5789.25
1509.25,5801.5
1510.0,5772.75
1510.5,5770.5
1518.75,5768.0
1522.75,5742.25
1522.75,5740.5
1549.0,5744.5
1518.25,5751.25
1508.0,5749.5
1508.0,5778.0
1496.25,5814.5
1506.5,5835.75
1533.25,5861.25
1554.75,5881.25
1561.0,5893.0
1532.25,5867.5
1529.75,5842.5
1539.0,5839.0
1532.25,5824.5
1534.0,5843.25
1516.25,5827.25
1507.5,5773.25
1506.75,5773.5
1505.75,5795.5
1497.5,5776.25
1489.75,5741.0
1494.5,5734.5
1493.0,5740.0
1502.0,5737.25
1517.75,5742.75
1502.25,5746.75
1494.25,5747.75
1511.0,5751.75
1512.5,5746.75
1517.0,5752.25
1513.5,5774.25
1503.5,5760.5
1500.25,5777.5
1506.5,5801.0
1513.5,5819.75
1495.25,5827.5
1488.5,5823.25
1495.5,5818.75
1491.5,5796.0
1495.25,5804.25
1499.25,5801.75
1503.75,5802.25
1507.75,5809.25
1504.75,5811.0
1507.25,5828.25
1499.5,5812.5
1489.25,5776.75
1476.75,5792.0
1480.25,5811.25
1498.5,5823.0
1502.25,5810.75
1500.75,5812.0
1499.25,5830.5
1508.25,5833.75
1502.75,5836.5
1495.75,5818.75
1489.75,5798.0
1486.25,5812.75
1485.25,5819.25
1485.25,5812.25
1493.25,5812.75
1495.0,5820.0
1499.0,5821.0
1494.25,5816.0
1480.5,5823.75
1482.25,5838.75
1487.5,5854.75
1494.5,5844.75
1498.5,5841.0
1508.5,5820.0
1506.75,5814.75
1514.75,5842.5
1496.75,5821.0
1480.0,5809.75
1479.75,5785.5
1487.5,5807.75
1519.75,5817.25
1532.5,5819.25
1535.75,5843.25
1528.0,5861.75
1524.25,5863.5
1531.25,5840.0
1549.5,5839.75
1533.5,5832.75
1516.25,5818.25
1507.75,5818.5
1515.25,5817.5
1512.75,5807.0
1501.0,5799.75
1484.5,5789.75
1484.0,5792.0
1493.0,5799.0
1493.75,5803.75
1492.5,5820.75
1489.5,5827.75
1479.25,5809.0
1477.75,5805.0
1465.75,5791.75
1469.5,5799.0
1466.75,5808.25
1467.0,5813.75
1478.25,5832.25
1475.75,5835.75
1494.5,5850.25
1494.75,5837.75
1479.75,5817.25
1487.25,5835.5
1472.0,5822.0
1469.75,5815.75
1489.0,5815.0
1488.25,5838.0
1485.0,5861.75
1480.5,5864.75
1472.25,5867.25
1469.0,5876.0
1483.25,5888.25
1505.75,5883.75
1512.75,5869.5
1505.0,5874.25
1500.0,5876.5
1491.75,5874.75
1500.25,5879.0
1510.5,5878.75
1502.5,5875.0
1491.25,5868.0
1492.25,5874.75
1491.25,5875.75
1496.5,5873.25
1498.75,5877.25
1481.75,5864.25
1460.5,5835.0
1446.5,5827.5
1454.5,5834.5
1457.5,5847.75
1458.0,5857.0
1455.25,5860.0
1464.0,5865.25
1477.25,5880.25
1482.5,5886.75
1478.5,5882.75
1490.5,5879.0
1494.5,5867.0
1489.75,5864.0
1482.25,5863.0
1480.75,5869.5
1481.5,5873.75
1485.0,5874.0
1470.5,5873.0
1472.25,5874.25
1461.0,5866.5
1460.25,5865.25
1463.0,5872.25
1461.5,5862.75
1466.0,5871.25
1472.75,5881.75
1473.5,5880.5
1463.5,5865.0
1462.75,5848.75
1451.75,5842.0
1449.25,5851.5
1456.75,5856.25
1439.5,5843.75
1445.25,5852.25
1460.75,5862.25
1460.0,5860.75
1426.75,5843.5
1418.75,5823.5
1437.5,5831.5
1447.5,5846.75
1446.5,5848.0
1446.5,5844.75
1450.25,5854.25
1458.5,5862.25
1468.25,5867.25
1473.75,5869.75
1463.75,5863.75
1459.5,5857.75
1457.25,5855.5
1449.0,5858.0
1454.25,5864.0
1446.5,5856.5
1433.25,5842.0
1451.75,5847.75
1478.5,5872.25
1483.25,5882.25
1468.5,5864.25
1468.25,5863.25
1464.25,5867.25
1463.5,5865.5
1443.0,5846.5
1444.5,5847.0
1452.75,5856.75
1442.5,5854.75
1417.0,5817.5
1415.75,5814.0
1430.5,5825.25
1436.25,5843.25
1457.25,5863.5
1461.25,5878.0
1448.75,5862.75
1432.5,5829.75
1427.5,5821.5
1441.75,5843.25
1436.25,5831.0
1433.75,5824.75
1451.5,5847.5
1463.0,5853.5
1462.75,5853.5
1465.5,5851.0
1462.25,5848.75
1460.25,5851.5
1457.75,5855.0
1466.0,5859.25
