4.535,4.7122355
4.35,4.412615
4.376,4.5236487
4.032,3.9905612
3.952,3.9832892
4.323,4.247807
4.005,3.9902344
4.668,4.894183
4.589,4.502769
4.058,3.9512277
3.952,3.9928293
4.058,4.122159
4.456,4.1887145
3.978,3.964473
4.323,4.154418
3.952,3.9803658
4.032,3.8900876
4.217,3.987906
4.403,4.3297515
4.005,3.9871888
3.978,3.918254
4.456,4.330242
4.27,4.2014236
4.217,4.0524845
4.323,4.0649037
4.535,4.1976376
4.111,4.1206856
4.244,4.1472774
4.589,4.359684
4.164,4.201623
4.88,4.6096983
3.952,3.9234502
4.005,3.9867063
4.589,4.380331
4.058,3.914987
5.252,4.9894395
4.032,3.8252344
3.978,4.1455092
3.925,3.8749325
4.35,4.1655264
4.244,4.1810102
3.899,3.8706074
4.695,4.5350904
3.978,3.9452858
4.35,4.4608493
5.092,4.751835
4.615,4.6777124
4.376,4.285318
4.403,4.3501177
4.509,4.078906
3.872,3.9187405
4.482,4.4039106
4.535,4.347512
3.872,4.0856037
4.058,4.1221447
4.642,4.7766213
3.925,4.395297
4.562,4.5275035
4.297,3.8408885
4.164,4.1507907
4.191,4.144457
4.509,4.586481
4.403,4.295333
4.482,4.342721
4.456,4.5967975
4.032,3.8184886
4.456,4.451131
4.111,4.167579
4.482,4.3564863
4.297,4.106077
4.138,3.712475
4.164,4.2518926
5.199,4.977497
4.403,4.2292924
4.403,4.267566
4.482,4.3485613
3.925,3.834735
4.403,4.27655
4.589,4.386472
4.191,4.142961
4.164,4.2623076
4.35,4.3205366
4.191,4.1519227
5.199,5.0750904
4.244,4.515139
4.509,4.187742
3.978,3.8680143
4.482,4.3268905
4.35,4.384101
4.509,4.372325
3.978,3.7796192
5.199,5.109727
3.952,3.566997
4.403,4.2265005
4.058,4.3240395
3.713,4.074085
4.589,4.264434
4.933,4.5466247
4.456,4.2762246
5.066,5.01548
4.35,4.3741264
4.509,4.430895
4.403,4.329406
4.297,4.420246
4.774,4.9107475
5.146,5.030448
4.297,4.147009
4.403,4.3337135
4.376,4.434018
6.203,5.849371
6.045,5.9808326
3.607,3.906341
5.039,4.813954
5.57,5.4491343
5.415,5.010832
4.111,4.3437405
5.172,5.388207
6.366,6.323835
4.323,4.5849695
5.013,4.8592753
6.366,6.3550086
4.748,4.5952654
3.766,3.6779952
4.085,4.1317453
5.572,5.1717157
5.257,4.800256
4.509,4.406948
6.045,5.6979356
5.358,5.3050933
6.047,6.145182
4.986,4.754261
5.73,5.323295
5.125,4.7083225
5.092,5.0126524
5.199,4.9166403
4.88,4.957652
5.623,5.013587
5.411,5.407556
4.774,5.1770606
5.119,4.858929
4.994,4.6905713
6.045,6.079622
5.888,5.4461856
5.146,4.7311134
4.827,4.8726954
5.89,6.085836
4.748,4.562825
4.986,4.797761
4.986,4.85063
5.944,5.9057617
4.933,4.743498
4.774,4.7849903
6.106,5.7902174
4.774,4.848734
6.1,5.7274823
4.863,4.7061405
5.625,5.254348
